_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
681448150,FALSE,finalized,3,2/25/15 5:24,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,2/24/15 11:35,5.70306E+17,,Eastern Time (US & Canada)
681448153,FALSE,finalized,3,2/25/15 1:53,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,2/24/15 11:15,5.70301E+17,,Pacific Time (US & Canada)
681448156,FALSE,finalized,3,2/25/15 10:01,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,2/24/15 11:15,5.70301E+17,Lets Play,Central Time (US & Canada)
681448158,FALSE,finalized,3,2/25/15 3:05,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2/24/15 11:15,5.70301E+17,,Pacific Time (US & Canada)
681448159,FALSE,finalized,3,2/25/15 5:50,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,2/24/15 11:14,5.70301E+17,,Pacific Time (US & Canada)
681448162,FALSE,finalized,3,2/25/15 9:10,negative,1,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,2/24/15 11:14,5.70301E+17,,Pacific Time (US & Canada)
681448165,FALSE,finalized,3,2/25/15 8:11,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this â€œear wormâ€ù wonâ€™t go away :)",,2/24/15 11:13,5.70301E+17,San Francisco CA,Pacific Time (US & Canada)
681448167,FALSE,finalized,3,2/25/15 2:11,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,2/24/15 11:12,5.703E+17,Los Angeles,Pacific Time (US & Canada)
681448169,FALSE,finalized,3,2/25/15 9:01,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn'tâ€_but NOW I DO! :-D",,2/24/15 11:11,5.703E+17,San Diego,Pacific Time (US & Canada)
